Date,Year,Quarter,Month,GDP,FDI,HHD,COPD,GOVD,GOVE,IMP,EXP,PIR,MLR,WAGE,UNEM,NEER,REER,CCI,PII,BSI,TOUR,BROLP,INDPRO,CAPU,BROMO,FRES,LAB
1993-03-31,1993,Q1,3,1067301.00,,,,,,,,,,,,,,,,,,18.75,,,,,
1993-04-30,1993,,4,,,,,,,,,,,,,,,,,,,18.65,,,,,
1993-05-31,1993,,5,,,,,,,,,,,,,,,,,,,18.50,,,,,
1993-06-30,1993,Q2,6,1039924.00,,,,,,,,,,,,,,,,,,17.65,,,,,
1993-07-31,1993,,7,,,,,,,,,,,,,,,,,,,16.80,,,,,
1993-08-31,1993,,8,,,,,,,,,,,,,,,,,,,16.70,,,,,
1993-09-30,1993,Q3,9,1086494.00,,,,,,,,,,,,,,,,,,16.00,,,,,
1993-10-31,1993,,10,,,,,,,,,,,,,,,,,,,16.60,,,,,
1993-11-30,1993,,11,,,,,,,,,,,,,,,,,,,15.15,,,,,
1993-12-31,1993,Q4,12,1147308.00,,,,,,,,,,,,,,,,,,13.60,,,,,
1994-01-31,1994,,1,,,,,,,,,,,,,127.70,106.86,,,,,14.25,,,,,
1994-02-28,1994,,2,,,,,,,,,,,,,127.60,106.64,,,,,13.80,,,,,
1994-03-31,1994,Q1,3,1179517.00,,,,,,,,,,,,127.31,106.63,,,,,13.95,,,,,
1994-04-30,1994,,4,,,,,,,,,,,,,127.14,105.83,,,,,15.15,,,,,
1994-05-31,1994,,5,,,,,,,,,,,,,126.66,106.29,,,,,16.20,,,,,
1994-06-30,1994,Q2,6,1146232.00,,,,,,,,,,,,126.21,106.23,,,,,16.75,,,,,
1994-07-31,1994,,7,,,,,,,,,,,,,125.30,105.61,,,,,17.60,,,,,
1994-08-31,1994,,8,,,,,,,,,,,,,125.02,105.35,,,,,16.80,,,,,
1994-09-30,1994,Q3,9,1135828.00,,,,,,,,,,,,124.41,105.33,,,,,15.90,,,,,
1994-10-31,1994,,10,,,,,,,,,,,,,123.61,105.23,,,,,16.40,,,,,
1994-11-30,1994,,11,,,,,,,,,,,,,123.68,104.08,,,,,17.20,,,,,
1994-12-31,1994,Q4,12,1226603.00,,,,,,,,,,,,124.22,104.19,,,,,15.96,,,,,
1995-01-31,1995,,1,,,,,,,121960.39,98281.00,,,,,124.35,103.86,,,,,16.63,,,,,
1995-02-28,1995,,2,,,,,,,109138.90,98571.00,,,,,124.26,103.89,,,,,17.08,,,,,
1995-03-31,1995,Q1,3,1265610.00,,,,,,138365.68,126244.00,,,,,122.85,102.85,,,,,17.01,,,,,
1995-04-30,1995,,4,,,,,,,111573.39,98514.00,,,,,120.99,101.09,,,,,18.67,,,,,
1995-05-31,1995,,5,,,,,,,139846.80,117042.00,,,,,121.00,101.89,,,,,18.38,,,,,
1995-06-30,1995,Q2,6,1256367.00,,,,,,135543.28,120967.00,,,,,120.72,102.05,,,,,17.35,,,,,
1995-07-31,1995,,7,,,,,,,130215.44,112181.00,,,,,120.78,102.92,,,,,15.86,,,,,
1995-08-31,1995,,8,,,,,,,142238.99,118967.00,,,,,122.72,105.22,,,,,16.07,,,,,
1995-09-30,1995,Q3,9,1231962.00,,,,,,120132.29,124111.00,,,,,123.80,106.70,,,,,16.78,,,,,
1995-10-31,1995,,10,,,,,,,147350.80,119427.00,,,,,123.46,107.59,,,,,16.12,,,,,
1995-11-30,1995,,11,,,,,,,151019.74,128260.00,,,,,123.86,107.41,,,,,16.88,,,,,
1995-12-31,1995,Q4,12,1314936.00,,,,,,132899.38,119095.00,,,,,124.35,107.74,,,,,17.96,,,,,
1996-01-31,1996,,1,,,,,,,137819.09,110317.00,,,,,125.05,108.06,,,,,17.94,,,,,
1996-02-29,1996,,2,,,,,,,131370.23,114896.00,,,,,125.28,108.34,,,,,17.97,,,,,
1996-03-31,1996,Q1,3,1313862.00,,,,,,146332.20,121081.00,,,,,125.28,108.36,,,,,19.99,,,,,
1996-04-30,1996,,4,,,,,,,140696.85,104774.00,,,,,125.35,107.92,,,,,21.01,,,,,
1996-05-31,1996,,5,,,,,,,141558.15,123088.00,,,,,125.44,108.19,,,,,19.12,,,,,
1996-06-30,1996,Q2,6,1336374.00,,,,,,131443.00,109131.00,,,,,125.65,108.36,,,,,18.27,,,,,
1996-07-31,1996,,7,,,,,,,131721.97,110785.00,,,,,125.50,108.90,,,,,19.61,,,,,
1996-08-31,1996,,8,,,,,,,141250.72,118078.00,,,,,125.38,109.62,,,,,20.58,,,,,
1996-09-30,1996,Q3,9,1323012.00,,,,,,122981.26,112529.00,,,,,125.53,109.57,,,,,22.59,,,,,
1996-10-31,1996,,10,,,,,,,138047.48,116426.00,,,,,125.65,110.54,,,,,24.18,,,,,
1996-11-30,1996,,11,,,,,,,130752.17,120781.00,,,,,125.28,110.21,,,,,22.64,,,,,
1996-12-31,1996,Q4,12,1382117.00,,,,,,125210.15,117016.00,,,,,125.64,110.27,,,,,23.90,,,,,
1997-01-31,1997,,1,,,,,,,140863.02,116895.00,,,,,126.44,110.45,,,,,23.47,,,5215536.00,,
1997-02-28,1997,,2,,,,,,,115816.80,109171.00,,,,,127.49,111.66,,,,,20.83,,,5217369.00,,
1997-03-31,1997,Q1,3,1318993.00,,,,,,134739.20,126548.00,,,,,127.94,112.66,,,,,19.21,,,5241102.00,,
1997-04-30,1997,,4,,,,,,,137121.80,110912.00,,,,,128.31,112.18,,,,,17.47,,,5286083.00,,
1997-05-31,1997,,5,,,,,,,124659.08,123251.00,,,,,128.59,112.77,,,,,19.14,,,5286604.00,,
1997-06-30,1997,Q2,6,1309139.00,,,,,,128464.20,119488.00,,,,,135.40,118.73,,,,,17.55,,,5237182.00,,
1997-07-31,1997,,7,,,,,,,142932.96,142950.00,,,,,111.55,98.86,,,,,18.40,,,5237686.00,,
1997-08-31,1997,,8,,,,,,,156090.18,155213.00,,,,,105.29,95.63,,,,,18.71,,,5077804.00,,
1997-09-30,1997,Q3,9,1282881.00,,,,,,155857.96,180543.00,,,,,97.79,88.91,,,,,18.45,,,5120878.00,,
1997-10-31,1997,,10,,,,,,,151712.21,192708.00,,,,,92.96,85.41,,,,,19.85,,,5203451.00,,
1997-11-30,1997,,11,,,,,,,138949.30,187697.00,,,,,90.19,83.31,,,,,19.00,,,5252271.00,,
1997-12-31,1997,Q4,12,1296888.00,,,,,,160098.87,224457.00,,,,,83.42,77.00,,,,,17.00,,,5354371.00,,
1998-01-31,1998,,1,,,,,,,162930.16,225186.00,,,,,72.76,67.27,,,,,15.09,,,5433748.00,,
1998-02-28,1998,,2,,,,,,,133511.16,201087.00,,,,,82.21,76.31,,,,,14.06,,,5451144.00,,
1998-03-31,1998,Q1,3,1244216.00,,,,,,132767.99,194266.00,,,,,91.48,85.49,,,,,13.08,,,5471477.00,,
1998-04-30,1998,,4,,,,,,,125841.36,167744.00,,,,,94.46,88.39,,,,,13.39,,,5490948.00,,
1998-05-31,1998,,5,,,,,,,113306.83,164193.00,,,,,96.63,90.69,,,,,14.39,,,5501618.00,,
1998-06-30,1998,Q2,6,1145060.00,,,,,,136266.74,189985.00,,,,,91.86,86.59,,,,,12.06,,,5538233.00,,
1998-07-31,1998,,7,,,,,,,134249.92,187549.00,,,,,94.28,89.22,,,,,12.01,,,5613876.00,,
1998-08-31,1998,,8,,,,,,,123268.07,175519.00,,,,,94.02,89.22,,,,,11.88,,,5679607.00,,
1998-09-30,1998,Q3,9,1155997.00,,,,,,116615.29,180487.00,,,,,94.50,89.25,,,,,13.36,,,5755491.00,,
1998-10-31,1998,,10,,,,,,,116716.71,171162.00,,,,,96.23,90.79,,,,,12.56,,,5809432.00,,
1998-11-30,1998,,11,,,,,,,109592.77,159459.00,,,,,100.25,93.87,,,,,10.92,,,5815085.00,,
1998-12-31,1998,Q4,12,1265055.00,,,,,,107390.49,164445.00,,,,,100.00,93.49,,,,,9.80,,,5858631.00,,
1999-01-31,1999,,1,,,,,,,103800.12,145324.00,,,,,98.81,92.12,,,,,11.06,,,5828028.00,874089.53,
1999-02-28,1999,,2,,,,,,,104528.58,150927.00,,,,,98.80,92.34,,,45.30,,10.20,,,5873479.00,886961.66,
1999-03-31,1999,Q1,3,1259716.00,,,,,,125221.18,173602.00,,,,,98.93,92.20,,,45.50,,12.47,,,5882111.00,952436.71,
1999-04-30,1999,,4,,,,,,,123569.98,164205.00,,,,,98.46,90.77,,,49.10,,15.30,,,5882531.00,982350.79,
1999-05-31,1999,,5,,,,,,,119573.03,168610.00,,,,,100.25,92.16,,,51.90,,15.14,,,5931399.00,1007087.85,
1999-06-30,1999,Q2,6,1206997.00,,,,,,143748.29,175199.00,,,,,100.47,92.41,,,50.80,,15.77,,,5850856.00,1034526.90,
1999-07-31,1999,,7,,,,,,,129223.89,181161.00,,,,,99.67,92.19,,,50.90,,19.01,,,5872974.00,1065423.96,
1999-08-31,1999,,8,,,,,,,140364.98,184433.00,,,,,96.21,89.27,,,50.30,,20.22,,,5880561.00,1112760.51,
